内蒙古电信,#genre#
达茂,http://121.56.146.116:4848/udp/239.29.1.101:5000
库伦,http://121.56.146.116:4848/udp/239.29.1.100:5000
丰镇,http://121.56.146.116:4848/udp/239.29.1.103:5000
五原,http://121.56.146.116:4848/udp/239.29.0.148:5000
武川,http://121.56.146.116:4848/udp/239.29.0.182:5000
扎兰屯,http://121.56.146.116:4848/udp/239.29.1.109:5000
阿尔山,http://121.56.146.116:4848/udp/239.29.1.112:5000
阿巴嘎,http://121.56.146.116:4848/udp/239.29.0.184:5000
翁牛特,http://121.56.146.116:4848/udp/239.29.0.186:5000
托克托,http://121.56.146.116:4848/udp/239.29.0.146:5000
满洲里,http://121.56.146.116:4848/udp/239.29.0.34:5000
额济纳,http://121.56.146.116:4848/udp/239.29.0.177:5000
西乌旗,http://121.56.146.116:4848/udp/239.29.0.181:5000
阿右旗,http://121.56.146.116:4848/udp/239.29.0.175:5000
正蓝旗,http://121.56.146.116:4848/udp/239.29.0.147:5000
东乌旗,http://121.56.146.116:4848/udp/239.29.0.180:5000
土左旗,http://121.56.146.116:4848/udp/239.29.0.188:5000
太仆寺旗,http://121.56.146.116:4848/udp/239.29.0.154:5000
准格尔旗,http://121.56.146.116:4848/udp/239.29.0.192:5000
科右中旗,http://121.56.146.116:4848/udp/239.29.0.178:5000
正镶白旗,http://121.56.146.116:4848/udp/239.29.0.153:5000
扎赉特旗,http://121.56.146.116:4848/udp/239.29.0.185:5000
察右中旗,http://121.56.146.116:4848/udp/239.29.1.106:5000
喀喇沁县,http://121.56.146.116:4848/udp/239.29.1.150:5000
额尔古纳,http://121.56.146.116:4848/udp/239.29.1.132:5000
和林格尔,http://121.56.146.116:4848/udp/239.29.0.183:5000
伊金霍洛旗,http://121.56.146.116:4848/udp/239.29.1.105:5000
克什克腾旗,http://121.56.146.116:4848/udp/239.29.1.110:5000
4K,http://121.56.146.116:4848/udp/239.29.1.129:5000
4K,http://121.56.146.116:4848/udp/239.29.1.131:5000
XHTV,http://121.56.146.116:4848/udp/239.29.0.187:5000
ELTV,http://121.56.146.116:4848/udp/239.29.1.113:5000
新闻,http://121.56.146.116:4848/udp/239.29.1.147:5000

